"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"20/47.5","253","47.5","20","Max","1"
"20/50","227","50","20","Max","18"
"22.5/47.5","252","47.5","22.5","Max","2"
"22.5/50","248","50","22.5","Max","19"
"25/50","249","50","25","Max","20"
"27.5/47.5","256","47.5","27.5","Max","4"
"27.5/50","251","50","27.5","Max","21"
"27.5/52.5","227","52.5","27.5","Max","38"
"30/47.5","263","47.5","30","Max","5"
"30/50","253","50","30","Max","22"
"30/52.5","231","52.5","30","Max","39"
"32.5/47.5","265","47.5","32.5","Max","6"
"32.5/50","254","50","32.5","Max","23"
"32.5/52.5","246","52.5","32.5","Max","40"
"35/47.5","266","47.5","35","Max","7"
"35/50","259","50","35","Max","24"
"35/52.5","247","52.5","35","Max","41"
"35/55","229","55","35","Max","58"
"37.5/47.5","266","47.5","37.5","Max","8"
"37.5/50","259","50","37.5","Max","25"
"37.5/52.5","253","52.5","37.5","Max","42"
"37.5/55","243","55","37.5","Max","59"
"40/47.5","267","47.5","40","Max","9"
"40/50","260","50","40","Max","26"
"40/52.5","254","52.5","40","Max","43"
"40/55","245","55","40","Max","60"
"40/57.5","229","57.5","40","Max","77"
"42.5/47.5","267","47.5","42.5","Max","10"
"42.5/50","260","50","42.5","Max","27"
"42.5/52.5","255","52.5","42.5","Max","44"
"42.5/55","245","55","42.5","Max","61"
"42.5/57.5","233","57.5","42.5","Max","78"
"45/47.5","268","47.5","45","Max","11"
"45/50","260","50","45","Max","28"
"45/52.5","255","52.5","45","Max","45"
"45/55","245","55","45","Max","62"
"45/57.5","243","57.5","45","Max","79"
"47.5/47.5","274","47.5","47.5","Max","12"
"47.5/50","265","50","47.5","Max","29"
"47.5/52.5","255","52.5","47.5","Max","46"
"47.5/55","246","55","47.5","Max","63"
"47.5/57.5","243","57.5","47.5","Max","80"
"47.5/60","226","60","47.5","Max","97"
"50/47.5","275","47.5","50","Max","13"
"50/50","266","50","50","Max","30"
"50/52.5","257","52.5","50","Max","47"
"50/55","246","55","50","Max","64"
"50/57.5","243","57.5","50","Max","81"
"50/60","226","60","50","Max","98"
"52.5/47.5","275","47.5","52.5","Max","14"
"52.5/50","266","50","52.5","Max","31"
"52.5/52.5","256","52.5","52.5","Max","48"
"52.5/55","246","55","52.5","Max","65"
"52.5/57.5","234","57.5","52.5","Max","82"
"52.5/60","226","60","52.5","Max","99"
"55/47.5","269","47.5","55","Max","15"
"55/50","265","50","55","Max","32"
"55/52.5","248","52.5","55","Max","49"
"55/55","246","55","55","Max","66"
"55/57.5","243","57.5","55","Max","83"
"55/60","230","60","55","Max","100"
"57.5/47.5","268","47.5","57.5","Max","16"
"57.5/50","261","50","57.5","Max","33"
"57.5/52.5","246","52.5","57.5","Max","50"
"57.5/55","235","55","57.5","Max","67"
"57.5/57.5","235","57.5","57.5","Max","84"
"57.5/60","225","60","57.5","Max","101"
"60/47.5","268","47.5","60","Max","17"
"60/50","257","50","60","Max","34"
"60/52.5","247","52.5","60","Max","51"
"60/55","243","55","60","Max","68"
"60/57.5","234","57.5","60","Max","85"
"60/60","226","60","60","Max","102"
