"ID","DOY","LAT","LONG","MAX","QGIS_ID"
"-10/35","365","35","-10","Max","1"
"-10/37.5","356","37.5","-10","Max","82"
"-10/40","334","40","-10","Max","163"
"-10/42.5","294","42.5","-10","Max","244"
"-10/45","286","45","-10","Max","325"
"-10/47.5","270","47.5","-10","Max","406"
"-10/50","244","50","-10","Max","487"
"-7.5/35","365","35","-7.5","Max","6"
"-7.5/37.5","288","37.5","-7.5","Max","87"
"-7.5/40","271","40","-7.5","Max","168"
"-7.5/42.5","244","42.5","-7.5","Max","249"
"-7.5/45","285","45","-7.5","Max","330"
"-7.5/47.5","269","47.5","-7.5","Max","411"
"-7.5/50","249","50","-7.5","Max","492"
"-5/35","286","35","-5","Max","11"
"-5/37.5","285","37.5","-5","Max","92"
"-5/40","250","40","-5","Max","173"
"-5/45","284","45","-5","Max","335"
"-5/47.5","269","47.5","-5","Max","416"
"-5/50","220","50","-5","Max","497"
"-2.5/35","322","35","-2.5","Max","16"
"-2.5/37.5","244","37.5","-2.5","Max","97"
"-2.5/40","244","40","-2.5","Max","178"
"-2.5/42.5","243","42.5","-2.5","Max","259"
"-2.5/45","272","45","-2.5","Max","340"
"-2.5/47.5","251","47.5","-2.5","Max","421"
"-2.5/50","245","50","-2.5","Max","502"
"0/35","273","35","0","Max","21"
"0/37.5","334","37.5","0","Max","102"
"0/40","284","40","0","Max","183"
"0/45","254","45","0","Max","345"
"0/47.5","252","47.5","0","Max","426"
"0/50","249","50","0","Max","507"
"2.5/35","271","35","2.5","Max","26"
"2.5/37.5","334","37.5","2.5","Max","107"
"2.5/40","303","40","2.5","Max","188"
"2.5/42.5","251","42.5","2.5","Max","269"
"2.5/47.5","251","47.5","2.5","Max","431"
"2.5/50","249","50","2.5","Max","512"
"2.5/52.5","218","52.5","2.5","Max","593"
"5/35","291","35","5","Max","31"
"5/37.5","332","37.5","5","Max","112"
"5/40","309","40","5","Max","193"
"5/42.5","287","42.5","5","Max","274"
"5/45","249","45","5","Max","355"
"5/47.5","246","47.5","5","Max","436"
"5/50","243","50","5","Max","517"
"5/52.5","239","52.5","5","Max","598"
"5/55","199","55","5","Max","679"
"7.5/35","279","35","7.5","Max","36"
"7.5/37.5","332","37.5","7.5","Max","117"
"7.5/40","309","40","7.5","Max","198"
"7.5/42.5","288","42.5","7.5","Max","279"
"7.5/45","226","45","7.5","Max","360"
"7.5/47.5","223","47.5","7.5","Max","441"
"7.5/50","243","50","7.5","Max","522"
"7.5/52.5","236","52.5","7.5","Max","603"
"10/35","311","35","10","Max","41"
"10/37.5","314","37.5","10","Max","122"
"10/40","290","40","10","Max","203"
"10/42.5","287","42.5","10","Max","284"
"10/45","263","45","10","Max","365"
"10/50","243","50","10","Max","527"
"10/52.5","222","52.5","10","Max","608"
"12.5/35","325","35","12.5","Max","46"
"12.5/37.5","328","37.5","12.5","Max","127"
"12.5/40","309","40","12.5","Max","208"
"12.5/42.5","264","42.5","12.5","Max","289"
"12.5/45","268","45","12.5","Max","370"
"12.5/50","207","50","12.5","Max","532"
"15/35","336","35","15","Max","51"
"15/37.5","289","37.5","15","Max","132"
"15/40","290","40","15","Max","213"
"15/42.5","288","42.5","15","Max","294"
"15/45","263","45","15","Max","375"
"15/47.5","224","47.5","15","Max","456"
"15/50","237","50","15","Max","537"
"17.5/35","334","35","17.5","Max","56"
"17.5/37.5","325","37.5","17.5","Max","137"
"17.5/40","290","40","17.5","Max","218"
"17.5/42.5","289","42.5","17.5","Max","299"
"17.5/45","266","45","17.5","Max","380"
"17.5/47.5","262","47.5","17.5","Max","461"
"17.5/50","229","50","17.5","Max","542"
"20/35","334","35","20","Max","61"
"20/37.5","328","37.5","20","Max","142"
"20/40","278","40","20","Max","223"
"20/42.5","239","42.5","20","Max","304"
"20/45","267","45","20","Max","385"
"20/47.5","262","47.5","20","Max","466"
"20/50","237","50","20","Max","547"
"22.5/35","334","35","22.5","Max","66"
"22.5/37.5","278","37.5","22.5","Max","147"
"22.5/40","288","40","22.5","Max","228"
"22.5/42.5","259","42.5","22.5","Max","309"
"22.5/45","262","45","22.5","Max","390"
"22.5/47.5","262","47.5","22.5","Max","471"
"22.5/50","239","50","22.5","Max","552"
"25/35","316","35","25","Max","71"
"25/37.5","312","37.5","25","Max","152"
"25/40","301","40","25","Max","233"
"25/42.5","261","42.5","25","Max","314"
"25/45","258","45","25","Max","395"
"25/50","243","50","25","Max","557"
"25/52.5","230","52.5","25","Max","638"
"27.5/35","339","35","27.5","Max","76"
"27.5/37.5","299","37.5","27.5","Max","157"
"27.5/40","290","40","27.5","Max","238"
"27.5/42.5","281","42.5","27.5","Max","319"
"27.5/45","268","45","27.5","Max","400"
"27.5/47.5","259","47.5","27.5","Max","481"
"27.5/50","248","50","27.5","Max","562"
"27.5/52.5","233","52.5","27.5","Max","643"
"30/35","365","35","30","Max","81"
"30/37.5","265","37.5","30","Max","162"
"30/40","258","40","30","Max","243"
"30/42.5","293","42.5","30","Max","324"
"30/45","269","45","30","Max","405"
"30/47.5","262","47.5","30","Max","486"
"30/50","248","50","30","Max","567"
"30/52.5","235","52.5","30","Max","648"
