"ID","DOY","LAT","LONG","MIN","QGIS_ID"
"-10/35","1","35","-10","Min","1"
"-10/37.5","1","37.5","-10","Min","82"
"-10/40","1","40","-10","Min","163"
"-10/42.5","1","42.5","-10","Min","244"
"-10/45","1","45","-10","Min","325"
"-10/47.5","1","47.5","-10","Min","406"
"-10/50","2","50","-10","Min","487"
"-10/52.5","96","52.5","-10","Min","568"
"-10/55","94","55","-10","Min","649"
"-7.5/35","1","35","-7.5","Min","6"
"-7.5/37.5","1","37.5","-7.5","Min","87"
"-7.5/40","1","40","-7.5","Min","168"
"-7.5/42.5","1","42.5","-7.5","Min","249"
"-7.5/45","1","45","-7.5","Min","330"
"-7.5/47.5","1","47.5","-7.5","Min","411"
"-7.5/50","1","50","-7.5","Min","492"
"-7.5/52.5","120","52.5","-7.5","Min","573"
"-7.5/55","122","55","-7.5","Min","654"
"-5/35","1","35","-5","Min","11"
"-5/37.5","1","37.5","-5","Min","92"
"-5/40","1","40","-5","Min","173"
"-5/42.5","1","42.5","-5","Min","254"
"-5/45","1","45","-5","Min","335"
"-5/47.5","1","47.5","-5","Min","416"
"-5/50","90","50","-5","Min","497"
"-5/52.5","120","52.5","-5","Min","578"
"-5/55","125","55","-5","Min","659"
"-2.5/35","1","35","-2.5","Min","16"
"-2.5/37.5","1","37.5","-2.5","Min","97"
"-2.5/40","1","40","-2.5","Min","178"
"-2.5/42.5","15","42.5","-2.5","Min","259"
"-2.5/45","1","45","-2.5","Min","340"
"-2.5/47.5","60","47.5","-2.5","Min","421"
"-2.5/50","91","50","-2.5","Min","502"
"-2.5/52.5","120","52.5","-2.5","Min","583"
"-2.5/55","131","55","-2.5","Min","664"
"0/35","1","35","0","Min","21"
"0/37.5","1","37.5","0","Min","102"
"0/40","1","40","0","Min","183"
"0/42.5","88","42.5","0","Min","264"
"0/45","1","45","0","Min","345"
"0/47.5","76","47.5","0","Min","426"
"0/50","91","50","0","Min","507"
"0/52.5","110","52.5","0","Min","588"
"0/55","126","55","0","Min","669"
"2.5/35","1","35","2.5","Min","26"
"2.5/37.5","1","37.5","2.5","Min","107"
"2.5/40","1","40","2.5","Min","188"
"2.5/42.5","1","42.5","2.5","Min","269"
"2.5/45","87","45","2.5","Min","350"
"2.5/47.5","84","47.5","2.5","Min","431"
"2.5/50","91","50","2.5","Min","512"
"2.5/52.5","107","52.5","2.5","Min","593"
"2.5/55","121","55","2.5","Min","674"
"5/35","1","35","5","Min","31"
